episode - 0/1000, reward_per_episode = 0
episode - 206/1000, reward_per_episode = 1327.2832843168574
episode - 207/1000, reward_per_episode = 667.3037370177374
episode - 208/1000, reward_per_episode = 1989.9494936611666
episode - 209/1000, reward_per_episode = 1672.462120245875
episode - 210/1000, reward_per_episode = 1672.462120245875
episode - 211/1000, reward_per_episode = 1672.462120245875
episode - 212/1000, reward_per_episode = 157.23043917420324
episode - 213/1000, reward_per_episode = 2413.0914288390995
episode - 214/1000, reward_per_episode = 583.6832307247091
episode - 215/1000, reward_per_episode = 1830.653388287427
episode - 216/1000, reward_per_episode = 1323.5418232871818
episode - 217/1000, reward_per_episode = 1672.462120245875
episode - 218/1000, reward_per_episode = 2028.279845723939
episode - 219/1000, reward_per_episode = 235.53653510281447
episode - 220/1000, reward_per_episode = 2850.533905932738
episode - 221/1000, reward_per_episode = 1672.462120245875
episode - 222/1000, reward_per_episode = 1611.718774770672
episode - 223/1000, reward_per_episode = 1965.322643974745
episode - 224/1000, reward_per_episode = 1437.2611482325751
episode - 225/1000, reward_per_episode = 516.1245532200926
episode - 226/1000, reward_per_episode = 1672.462120245875
episode - 227/1000, reward_per_episode = 1672.462120245875
episode - 228/1000, reward_per_episode = 661.5780012178029
episode - 229/1000, reward_per_episode = 1672.462120245875
episode - 230/1000, reward_per_episode = 537.2688015530792
episode - 231/1000, reward_per_episode = 1894.85818883591
episode - 232/1000, reward_per_episode = 1008.9845701430486
episode - 233/1000, reward_per_episode = 1672.462120245875
episode - 234/1000, reward_per_episode = 235.53653510281447
episode - 235/1000, reward_per_episode = -496.88621811448365
episode - 236/1000, reward_per_episode = 1672.462120245875
episode - 237/1000, reward_per_episode = 1672.462120245875
episode - 238/1000, reward_per_episode = 235.53653510281447
episode - 239/1000, reward_per_episode = 1756.941016669034
episode - 240/1000, reward_per_episode = 1672.462120245875
episode - 241/1000, reward_per_episode = 1672.462120245875
episode - 242/1000, reward_per_episode = 1672.462120245875
episode - 243/1000, reward_per_episode = -540.0911293578724
episode - 244/1000, reward_per_episode = 3929.0228955001385
episode - 245/1000, reward_per_episode = 1760.0505063388334
episode - 246/1000, reward_per_episode = 1672.462120245875
episode - 247/1000, reward_per_episode = 1672.462120245875
episode - 248/1000, reward_per_episode = 1638.8640249495118
episode - 249/1000, reward_per_episode = 1261.3203435596424
episode - 250/1000, reward_per_episode = 2484.92424049175
episode - 251/1000, reward_per_episode = 1672.462120245875
episode - 252/1000, reward_per_episode = 1672.462120245875
episode - 253/1000, reward_per_episode = 235.53653510281447
episode - 254/1000, reward_per_episode = 763.7519786615019
episode - 255/1000, reward_per_episode = 1672.462120245875
episode - 256/1000, reward_per_episode = 1672.462120245875
episode - 257/1000, reward_per_episode = 676.7567166241854
episode - 258/1000, reward_per_episode = 1564.4412391855885
episode - 259/1000, reward_per_episode = 1138.1110484215942
episode - 260/1000, reward_per_episode = 324.052804740783
episode - 261/1000, reward_per_episode = 1902.964925957428
episode - 262/1000, reward_per_episode = 1672.462120245875
episode - 263/1000, reward_per_episode = 1672.462120245875
episode - 264/1000, reward_per_episode = 676.7567166241854
episode - 265/1000, reward_per_episode = 1966.6099866511495
episode - 266/1000, reward_per_episode = 1672.462120245875
episode - 267/1000, reward_per_episode = 595.0277227843944
episode - 268/1000, reward_per_episode = 1870.3260235673972
episode - 269/1000, reward_per_episode = 443.5232671074409
episode - 270/1000, reward_per_episode = 1611.718774770672
episode - 271/1000, reward_per_episode = 1672.462120245875
episode - 272/1000, reward_per_episode = 422.2790296913098
episode - 273/1000, reward_per_episode = 1672.462120245875
episode - 274/1000, reward_per_episode = 1672.462120245875
episode - 275/1000, reward_per_episode = -720.6962145063576
episode - 276/1000, reward_per_episode = 5025.352319781329
episode - 277/1000, reward_per_episode = 284.1480091330723
episode - 278/1000, reward_per_episode = 1672.462120245875
episode - 279/1000, reward_per_episode = 676.7567166241854
episode - 280/1000, reward_per_episode = 1760.0505063388334
episode - 281/1000, reward_per_episode = 1672.462120245875
episode - 282/1000, reward_per_episode = 1672.462120245875
episode - 283/1000, reward_per_episode = 1672.462120245875
episode - 284/1000, reward_per_episode = 1672.462120245875
episode - 285/1000, reward_per_episode = 1672.462120245875
episode - 286/1000, reward_per_episode = 235.53653510281447
episode - 287/1000, reward_per_episode = 1989.9494936611666
episode - 288/1000, reward_per_episode = 1672.462120245875
episode - 289/1000, reward_per_episode = 1672.462120245875
episode - 290/1000, reward_per_episode = 1672.462120245875
episode - 291/1000, reward_per_episode = 1672.462120245875
episode - 292/1000, reward_per_episode = 1672.462120245875
