episode - 0/10000, accumulative_reward = 0
episode - 291/10000, accumulative_reward = -79444.63094496599
episode - 292/10000, accumulative_reward = -79601.71926943857
episode - 293/10000, accumulative_reward = -79758.80759391116
episode - 294/10000, accumulative_reward = -80014.37472145077
episode - 295/10000, accumulative_reward = -80171.46304592336
episode - 296/10000, accumulative_reward = -80328.55137039594
episode - 297/10000, accumulative_reward = -79244.68448439462
episode - 298/10000, accumulative_reward = -80029.8924092339
episode - 299/10000, accumulative_reward = -80589.29579793094
episode - 300/10000, accumulative_reward = -81080.7426314853
episode - 301/10000, accumulative_reward = -81237.83095595788
episode - 302/10000, accumulative_reward = -81440.06494449338
episode - 303/10000, accumulative_reward = -81587.75438193162
episode - 304/10000, accumulative_reward = -81747.75438193162
episode - 305/10000, accumulative_reward = -81917.15326896598
episode - 306/10000, accumulative_reward = -82074.24159343856
episode - 307/10000, accumulative_reward = -82231.32991791115
episode - 308/10000, accumulative_reward = -82388.41824238373
episode - 309/10000, accumulative_reward = -82545.50656685632
episode - 310/10000, accumulative_reward = -82702.5948913289
episode - 311/10000, accumulative_reward = -82931.60557516105
episode - 312/10000, accumulative_reward = -83079.2950125993
episode - 313/10000, accumulative_reward = -83248.69389963365
episode - 314/10000, accumulative_reward = -83405.78222410624
episode - 315/10000, accumulative_reward = -83555.24835684111
episode - 316/10000, accumulative_reward = -83715.24835684111
episode - 317/10000, accumulative_reward = -83875.24835684111
episode - 318/10000, accumulative_reward = -84146.20368758292
episode - 319/10000, accumulative_reward = -84392.37192808818
episode - 320/10000, accumulative_reward = -84679.14862338481
episode - 321/10000, accumulative_reward = -84839.14862338481
episode - 322/10000, accumulative_reward = -85008.54751041917
episode - 323/10000, accumulative_reward = -85165.63583489176
episode - 324/10000, accumulative_reward = -85315.10196762663
episode - 325/10000, accumulative_reward = -85484.50085466099
episode - 326/10000, accumulative_reward = -85635.26793273966
episode - 327/10000, accumulative_reward = -85890.83506027928
episode - 328/10000, accumulative_reward = -86038.52449771752
episode - 329/10000, accumulative_reward = -86198.52449771752
episode - 330/10000, accumulative_reward = -86439.84574411143
episode - 331/10000, accumulative_reward = -87233.32489238906
episode - 332/10000, accumulative_reward = -87189.15447745014
episode - 333/10000, accumulative_reward = -87365.70699682304
episode - 334/10000, accumulative_reward = -87611.87523732829
episode - 335/10000, accumulative_reward = -87806.60759921127
episode - 336/10000, accumulative_reward = -87345.32102652821
