episode - 398/10000, loss = 3022.644775390625
episode - 399/10000, loss = 12353.58203125
episode - 400/10000, loss = 3441.039794921875
episode - 401/10000, loss = 3273.286865234375
episode - 402/10000, loss = 668.3688354492188
episode - 403/10000, loss = 2780.01806640625
episode - 404/10000, loss = 10.122727394104004
episode - 405/10000, loss = 7667.58544921875
episode - 406/10000, loss = 13005.875
episode - 407/10000, loss = 36763.60546875
episode - 408/10000, loss = 10004.9658203125
episode - 409/10000, loss = 28.12732696533203
episode - 410/10000, loss = 9.805624961853027
episode - 411/10000, loss = 46.369781494140625
episode - 412/10000, loss = 8973.0576171875
episode - 413/10000, loss = 3316.89599609375
episode - 414/10000, loss = 11188.349609375
episode - 415/10000, loss = 4264.0185546875
episode - 416/10000, loss = 11101.4375
episode - 417/10000, loss = 2997.810302734375
episode - 418/10000, loss = 3858.843505859375
episode - 419/10000, loss = 20.733713150024414
episode - 420/10000, loss = 46128.93359375
episode - 421/10000, loss = 37.58065414428711
episode - 422/10000, loss = 363.4375915527344
episode - 423/10000, loss = 17650.498046875
episode - 424/10000, loss = 2237.134033203125
episode - 425/10000, loss = 5111.39013671875
episode - 426/10000, loss = 3065.769287109375
episode - 427/10000, loss = 338.4609680175781
episode - 428/10000, loss = 3426.6923828125
episode - 429/10000, loss = 200.95455932617188
episode - 430/10000, loss = 964.4015502929688
episode - 431/10000, loss = 103.83960723876953
episode - 432/10000, loss = 30.30370330810547
episode - 433/10000, loss = 254.54991149902344
episode - 434/10000, loss = 3.218989133834839
episode - 435/10000, loss = 0.32457682490348816
episode - 436/10000, loss = 182.2189178466797
episode - 437/10000, loss = 172.32830810546875
episode - 438/10000, loss = 4700.30712890625
episode - 439/10000, loss = 2679.97900390625
episode - 440/10000, loss = 12203.6748046875
episode - 441/10000, loss = 4846.72705078125
episode - 442/10000, loss = 35593.59765625
episode - 443/10000, loss = 3992.574462890625
episode - 444/10000, loss = 20.83042335510254
episode - 445/10000, loss = 49.99397277832031
episode - 446/10000, loss = 104457.359375
episode - 447/10000, loss = 16792.5390625
episode - 448/10000, loss = 13171.0771484375
episode - 449/10000, loss = 26.697404861450195
episode - 450/10000, loss = 2768.649169921875
episode - 451/10000, loss = 10211.01953125
episode - 452/10000, loss = 6042.18017578125
episode - 453/10000, loss = 13169.8427734375
episode - 454/10000, loss = 287.58843994140625
episode - 455/10000, loss = 179.07911682128906
episode - 456/10000, loss = 387.0638732910156
episode - 457/10000, loss = 8947.4892578125
episode - 458/10000, loss = 7132.72998046875
episode - 459/10000, loss = 1284.863525390625
episode - 460/10000, loss = 77.75833129882812
episode - 461/10000, loss = 3437.3916015625
episode - 462/10000, loss = 20762.322265625
episode - 463/10000, loss = 1.7052891254425049
episode - 464/10000, loss = 18488.916015625
episode - 465/10000, loss = 481.25775146484375
episode - 466/10000, loss = 5299.6806640625
episode - 467/10000, loss = 9744.18359375
episode - 468/10000, loss = 170.17857360839844
episode - 469/10000, loss = 240.8248291015625
episode - 470/10000, loss = 5394.3740234375
episode - 471/10000, loss = 3187.144775390625
episode - 472/10000, loss = 1160.1156005859375
episode - 473/10000, loss = 3405.93017578125
episode - 474/10000, loss = 786.1697998046875
episode - 475/10000, loss = 2734.7001953125
episode - 476/10000, loss = 690.4765625
episode - 477/10000, loss = 57.597389221191406
episode - 478/10000, loss = 16180.8251953125
episode - 479/10000, loss = 212.0377960205078
episode - 480/10000, loss = 0.076062873005867
episode - 481/10000, loss = 9955.712890625
episode - 482/10000, loss = 1848.5843505859375
episode - 483/10000, loss = 272.642333984375
episode - 484/10000, loss = 653.8002319335938
episode - 485/10000, loss = 42987.85546875
episode - 486/10000, loss = 29390.44921875
episode - 487/10000, loss = 41653.2890625
episode - 488/10000, loss = 4560.42626953125
episode - 489/10000, loss = 4893.552734375
episode - 490/10000, loss = 71.30228424072266
episode - 491/10000, loss = 2318.77197265625
episode - 492/10000, loss = 7254.05615234375
episode - 493/10000, loss = 14862.759765625
episode - 494/10000, loss = 16973.796875
episode - 495/10000, loss = 26.24497413635254
episode - 496/10000, loss = 1504.3782958984375
episode - 497/10000, loss = 2493.765380859375
episode - 498/10000, loss = 438.3103942871094
episode - 499/10000, loss = 509.5579833984375
episode - 500/10000, loss = 11641.4814453125
episode - 501/10000, loss = 2934.63623046875
episode - 502/10000, loss = 9425.3623046875
episode - 503/10000, loss = 1042192.0
episode - 504/10000, loss = 6.351747989654541
episode - 505/10000, loss = 7299.146484375
episode - 506/10000, loss = 489.344970703125
episode - 507/10000, loss = 533.4572143554688
episode - 508/10000, loss = 668.21533203125
episode - 509/10000, loss = 5214.0693359375
episode - 510/10000, loss = 583.61767578125
episode - 511/10000, loss = 1993.5289306640625
episode - 512/10000, loss = 1799.68505859375
episode - 513/10000, loss = 6533.888671875
episode - 514/10000, loss = 896.4778442382812
episode - 515/10000, loss = 48.990028381347656
episode - 516/10000, loss = 640.79296875
episode - 517/10000, loss = 8473.6904296875
episode - 518/10000, loss = 380.6991271972656
episode - 519/10000, loss = 79.49662780761719
episode - 520/10000, loss = 508.46685791015625
episode - 521/10000, loss = 665.1426391601562
episode - 522/10000, loss = 7777.45751953125
episode - 523/10000, loss = 7590.916015625
episode - 524/10000, loss = 9272.9267578125
episode - 525/10000, loss = 6979.8544921875
episode - 526/10000, loss = 2549.583984375
episode - 527/10000, loss = 12864.9990234375
episode - 528/10000, loss = 118.12860107421875
episode - 529/10000, loss = 944.6683959960938
episode - 530/10000, loss = 23555.041015625
episode - 531/10000, loss = 1319.896484375
episode - 532/10000, loss = 8902.9345703125
episode - 533/10000, loss = 6318.79052734375
episode - 534/10000, loss = 8285.5302734375
episode - 535/10000, loss = 1852.771728515625
episode - 536/10000, loss = 25111.513671875
episode - 537/10000, loss = 653.8020629882812
episode - 538/10000, loss = 8110.05126953125
episode - 539/10000, loss = 1861.3873291015625
episode - 540/10000, loss = 29148.7734375
episode - 541/10000, loss = 8949.4873046875
episode - 542/10000, loss = 128.61279296875
episode - 543/10000, loss = 1252.5587158203125
episode - 544/10000, loss = 16131.5732421875
episode - 545/10000, loss = 3.5175421237945557
episode - 546/10000, loss = 197.9140167236328
episode - 547/10000, loss = 8059.0634765625
episode - 548/10000, loss = 47.577598571777344
episode - 549/10000, loss = 1022.3916015625
episode - 550/10000, loss = 61.91364669799805
episode - 551/10000, loss = 11006.7919921875
episode - 552/10000, loss = 24918.48828125
episode - 553/10000, loss = 756.9134521484375
episode - 554/10000, loss = 322.51080322265625
episode - 555/10000, loss = 2249.357421875
episode - 556/10000, loss = 9740.26171875
episode - 557/10000, loss = 700.9309692382812
episode - 558/10000, loss = 195.2982940673828
episode - 559/10000, loss = 2071.66162109375
episode - 560/10000, loss = 763.3121948242188
episode - 561/10000, loss = 139.5133514404297
episode - 562/10000, loss = 2449.208984375
episode - 563/10000, loss = 3090.927490234375
episode - 564/10000, loss = 1412.352294921875
episode - 565/10000, loss = 807.3277587890625
episode - 566/10000, loss = 606.1514892578125
episode - 567/10000, loss = 2229.876953125
episode - 568/10000, loss = 2003.0076904296875
episode - 569/10000, loss = 2849.556884765625
episode - 570/10000, loss = 106.58728790283203
episode - 571/10000, loss = 5182.3974609375
episode - 572/10000, loss = 694.3214111328125
episode - 573/10000, loss = 14.101795196533203
episode - 574/10000, loss = 1558.9742431640625
episode - 575/10000, loss = 1632.0023193359375
episode - 576/10000, loss = 1284.435302734375
episode - 577/10000, loss = 1709.0816650390625
episode - 578/10000, loss = 203.83908081054688
episode - 579/10000, loss = 367.5809020996094
episode - 580/10000, loss = 346.02294921875
episode - 581/10000, loss = 22376.03515625
episode - 582/10000, loss = 1093.6859130859375
episode - 583/10000, loss = 20166.02734375
episode - 584/10000, loss = 368.3471984863281
episode - 585/10000, loss = 2078.221435546875
episode - 586/10000, loss = 52.018470764160156
episode - 587/10000, loss = 411.2804260253906
episode - 588/10000, loss = 91.40006256103516
episode - 589/10000, loss = 4135.02197265625
episode - 590/10000, loss = 396.6690368652344
episode - 591/10000, loss = 0.3573412001132965
episode - 592/10000, loss = 69.30252838134766
episode - 593/10000, loss = 2663.48974609375
episode - 594/10000, loss = 5009.626953125
episode - 595/10000, loss = 15753.5224609375
episode - 596/10000, loss = 3565.557373046875
episode - 597/10000, loss = 14866.98046875
episode - 598/10000, loss = 1976.7471923828125
episode - 599/10000, loss = 106.65685272216797
episode - 600/10000, loss = 0.6196132302284241
episode - 601/10000, loss = 275.4241943359375
episode - 602/10000, loss = 3494.295166015625
episode - 603/10000, loss = 8.496696472167969
episode - 604/10000, loss = 831.5680541992188
episode - 605/10000, loss = 399.0633544921875
episode - 606/10000, loss = 196.7371063232422
episode - 607/10000, loss = 949.4644775390625
episode - 608/10000, loss = 1068.590087890625
episode - 609/10000, loss = 51.23434829711914
episode - 610/10000, loss = 382.0582580566406
episode - 611/10000, loss = 8.592175483703613
episode - 612/10000, loss = 0.19957420229911804
episode - 613/10000, loss = 191.88009643554688
episode - 614/10000, loss = 12203.4326171875
episode - 615/10000, loss = 34.668060302734375
episode - 616/10000, loss = 67.90347290039062
episode - 617/10000, loss = 27522.888671875
episode - 618/10000, loss = 3740.43310546875
episode - 619/10000, loss = 39.355690002441406
episode - 620/10000, loss = 0.3970194160938263
episode - 621/10000, loss = 203.60324096679688
episode - 622/10000, loss = 6379.578125
episode - 623/10000, loss = 5088.32958984375
episode - 624/10000, loss = 11004.8681640625
episode - 625/10000, loss = 4899.361328125
episode - 626/10000, loss = 246.33636474609375
episode - 627/10000, loss = 804.5311279296875
episode - 628/10000, loss = 24.741567611694336
episode - 629/10000, loss = 21998.25390625
episode - 630/10000, loss = 1091.6912841796875
episode - 631/10000, loss = 887.5380249023438
episode - 632/10000, loss = 706.6883544921875
episode - 633/10000, loss = 4068.02001953125
episode - 634/10000, loss = 213.96388244628906
episode - 635/10000, loss = 2413.849853515625
episode - 636/10000, loss = 3724.799560546875
episode - 637/10000, loss = 1416.3660888671875
episode - 638/10000, loss = 64.01419067382812
