episode - 284/10000, epsilon = 0.014964098185791003
episode - 285/10000, epsilon = 0.014711733493921197
episode - 286/10000, epsilon = 0.014579856280947899
episode - 287/10000, epsilon = 0.014333971704933742
episode - 288/10000, epsilon = 0.014205480780321368
episode - 289/10000, epsilon = 0.013965909926436417
episode - 290/10000, epsilon = 0.01373037935777086
episode - 291/10000, epsilon = 0.013607299085584237
episode - 292/10000, epsilon = 0.01348532211528074
episode - 293/10000, epsilon = 0.013337723044094777
episode - 294/10000, epsilon = 0.013112786644688904
episode - 295/10000, epsilon = 0.012995242525382393
episode - 296/10000, epsilon = 0.012865873329338837
episode - 297/10000, epsilon = 0.012648894523260332
episode - 298/10000, epsilon = 0.012535508771838856
episode - 299/10000, epsilon = 0.012423139419803253
episode - 300/10000, epsilon = 0.012213627178383235
episode - 301/10000, epsilon = 0.012104143199948902
episode - 302/10000, epsilon = 0.01199564064508013
episode - 303/10000, epsilon = 0.011888110716213759
episode - 304/10000, epsilon = 0.01168762156140053
episode - 305/10000, epsilon = 0.011571269888693659
episode - 306/10000, epsilon = 0.01146754405488126
episode - 307/10000, epsilon = 0.011274147621231722
episode - 308/10000, epsilon = 0.011084012756089733
episode - 309/10000, epsilon = 0.010897084454153863
episode - 310/10000, epsilon = 0.010799402075123397
episode - 311/10000, epsilon = 0.010702595329131582
episode - 312/10000, epsilon = 0.010522099509142365
episode - 313/10000, epsilon = 0.010396526463938485
episode - 314/10000, epsilon = 0.01022119239669216
episode - 315/10000, epsilon = 0.010089111232576095
episode - 316/10000, epsilon = 0.009998671593271896
episode - 317/10000, epsilon = 0.009998671593271896
episode - 318/10000, epsilon = 0.009998671593271896
episode - 319/10000, epsilon = 0.009998671593271896
episode - 320/10000, epsilon = 0.009998671593271896
episode - 321/10000, epsilon = 0.009998671593271896
episode - 322/10000, epsilon = 0.009998671593271896
episode - 323/10000, epsilon = 0.009998671593271896
episode - 324/10000, epsilon = 0.009998671593271896
episode - 325/10000, epsilon = 0.009998671593271896
episode - 326/10000, epsilon = 0.009998671593271896
episode - 327/10000, epsilon = 0.009998671593271896
episode - 328/10000, epsilon = 0.009998671593271896
episode - 329/10000, epsilon = 0.009998671593271896
episode - 330/10000, epsilon = 0.009998671593271896
episode - 331/10000, epsilon = 0.009998671593271896
episode - 332/10000, epsilon = 0.009998671593271896
episode - 333/10000, epsilon = 0.009998671593271896
episode - 334/10000, epsilon = 0.009998671593271896
episode - 335/10000, epsilon = 0.009998671593271896
episode - 336/10000, epsilon = 0.009998671593271896
episode - 337/10000, epsilon = 0.009998671593271896
episode - 338/10000, epsilon = 0.009998671593271896
episode - 339/10000, epsilon = 0.009998671593271896
episode - 340/10000, epsilon = 0.009998671593271896
episode - 341/10000, epsilon = 0.009998671593271896
episode - 342/10000, epsilon = 0.009998671593271896
episode - 343/10000, epsilon = 0.009998671593271896
episode - 344/10000, epsilon = 0.009998671593271896
episode - 345/10000, epsilon = 0.009998671593271896
episode - 346/10000, epsilon = 0.009998671593271896
episode - 347/10000, epsilon = 0.009998671593271896
episode - 348/10000, epsilon = 0.009998671593271896
episode - 349/10000, epsilon = 0.009998671593271896
episode - 350/10000, epsilon = 0.009998671593271896
episode - 351/10000, epsilon = 0.009998671593271896
episode - 352/10000, epsilon = 0.009998671593271896
episode - 353/10000, epsilon = 0.009998671593271896
episode - 354/10000, epsilon = 0.009998671593271896
episode - 355/10000, epsilon = 0.009998671593271896
episode - 356/10000, epsilon = 0.009998671593271896
episode - 357/10000, epsilon = 0.009998671593271896
episode - 358/10000, epsilon = 0.009998671593271896
episode - 359/10000, epsilon = 0.009998671593271896
episode - 360/10000, epsilon = 0.009998671593271896
episode - 361/10000, epsilon = 0.009998671593271896
episode - 362/10000, epsilon = 0.009998671593271896
episode - 363/10000, epsilon = 0.009998671593271896
episode - 364/10000, epsilon = 0.009998671593271896
episode - 365/10000, epsilon = 0.009998671593271896
episode - 366/10000, epsilon = 0.009998671593271896
episode - 367/10000, epsilon = 0.009998671593271896
episode - 368/10000, epsilon = 0.009998671593271896
episode - 369/10000, epsilon = 0.009998671593271896
episode - 370/10000, epsilon = 0.009998671593271896
episode - 371/10000, epsilon = 0.009998671593271896
episode - 372/10000, epsilon = 0.009998671593271896
episode - 373/10000, epsilon = 0.009998671593271896
episode - 374/10000, epsilon = 0.009998671593271896
episode - 375/10000, epsilon = 0.009998671593271896
episode - 376/10000, epsilon = 0.009998671593271896
episode - 377/10000, epsilon = 0.009998671593271896
episode - 378/10000, epsilon = 0.009998671593271896
episode - 379/10000, epsilon = 0.009998671593271896
episode - 380/10000, epsilon = 0.009998671593271896
episode - 381/10000, epsilon = 0.009998671593271896
episode - 382/10000, epsilon = 0.009998671593271896
episode - 383/10000, epsilon = 0.009998671593271896
episode - 384/10000, epsilon = 0.009998671593271896
episode - 385/10000, epsilon = 0.009998671593271896
episode - 386/10000, epsilon = 0.009998671593271896
episode - 387/10000, epsilon = 0.009998671593271896
episode - 388/10000, epsilon = 0.009998671593271896
episode - 389/10000, epsilon = 0.009998671593271896
episode - 390/10000, epsilon = 0.009998671593271896
episode - 391/10000, epsilon = 0.009998671593271896
episode - 392/10000, epsilon = 0.009998671593271896
episode - 393/10000, epsilon = 0.009998671593271896
episode - 394/10000, epsilon = 0.009998671593271896
episode - 395/10000, epsilon = 0.009998671593271896
episode - 396/10000, epsilon = 0.009998671593271896
episode - 397/10000, epsilon = 0.009998671593271896
episode - 398/10000, epsilon = 0.009998671593271896
episode - 399/10000, epsilon = 0.009998671593271896
episode - 400/10000, epsilon = 0.009998671593271896
episode - 401/10000, epsilon = 0.009998671593271896
episode - 402/10000, epsilon = 0.009998671593271896
episode - 403/10000, epsilon = 0.009998671593271896
episode - 404/10000, epsilon = 0.009998671593271896
episode - 405/10000, epsilon = 0.009998671593271896
episode - 406/10000, epsilon = 0.009998671593271896
episode - 407/10000, epsilon = 0.009998671593271896
episode - 408/10000, epsilon = 0.009998671593271896
episode - 409/10000, epsilon = 0.009998671593271896
episode - 410/10000, epsilon = 0.009998671593271896
episode - 411/10000, epsilon = 0.009998671593271896
episode - 412/10000, epsilon = 0.009998671593271896
episode - 413/10000, epsilon = 0.009998671593271896
episode - 414/10000, epsilon = 0.009998671593271896
episode - 415/10000, epsilon = 0.009998671593271896
episode - 416/10000, epsilon = 0.009998671593271896
episode - 417/10000, epsilon = 0.009998671593271896
episode - 418/10000, epsilon = 0.009998671593271896
episode - 419/10000, epsilon = 0.009998671593271896
episode - 420/10000, epsilon = 0.009998671593271896
episode - 421/10000, epsilon = 0.009998671593271896
episode - 422/10000, epsilon = 0.009998671593271896
episode - 423/10000, epsilon = 0.009998671593271896
episode - 424/10000, epsilon = 0.009998671593271896
episode - 425/10000, epsilon = 0.009998671593271896
episode - 426/10000, epsilon = 0.009998671593271896
episode - 427/10000, epsilon = 0.009998671593271896
episode - 428/10000, epsilon = 0.009998671593271896
episode - 429/10000, epsilon = 0.009998671593271896
episode - 430/10000, epsilon = 0.009998671593271896
