episode - 0/40000, reward_per_episode = 0
episode - 472/40000, reward_per_episode = 107.5
episode - 473/40000, reward_per_episode = 107.5
episode - 474/40000, reward_per_episode = 62.5
episode - 475/40000, reward_per_episode = 65.5
episode - 476/40000, reward_per_episode = 107.5
episode - 477/40000, reward_per_episode = 107.5
episode - 478/40000, reward_per_episode = 107.5
episode - 479/40000, reward_per_episode = 107.5
episode - 480/40000, reward_per_episode = 107.5
episode - 481/40000, reward_per_episode = 107.5
episode - 482/40000, reward_per_episode = 107.5
episode - 483/40000, reward_per_episode = 107.5
episode - 484/40000, reward_per_episode = 107.5
episode - 485/40000, reward_per_episode = 107.5
episode - 486/40000, reward_per_episode = 117.5
episode - 487/40000, reward_per_episode = 107.5
episode - 488/40000, reward_per_episode = 115.5
episode - 489/40000, reward_per_episode = 107.5
episode - 490/40000, reward_per_episode = 114.0
episode - 491/40000, reward_per_episode = 107.5
episode - 492/40000, reward_per_episode = 107.5
episode - 493/40000, reward_per_episode = 85.0
episode - 494/40000, reward_per_episode = 79.0
episode - 495/40000, reward_per_episode = 90.0
episode - 496/40000, reward_per_episode = 62.5
episode - 497/40000, reward_per_episode = 87.5
episode - 498/40000, reward_per_episode = 107.5
episode - 499/40000, reward_per_episode = 100.0
episode - 500/40000, reward_per_episode = 121.0
episode - 501/40000, reward_per_episode = 131.5
episode - 502/40000, reward_per_episode = 107.5
episode - 503/40000, reward_per_episode = 107.5
episode - 504/40000, reward_per_episode = 116.5
episode - 505/40000, reward_per_episode = 107.5
episode - 506/40000, reward_per_episode = 107.5
episode - 507/40000, reward_per_episode = 107.5
episode - 508/40000, reward_per_episode = 116.5
episode - 509/40000, reward_per_episode = 84.0
episode - 510/40000, reward_per_episode = 107.5
episode - 511/40000, reward_per_episode = 114.0
episode - 512/40000, reward_per_episode = 107.5
episode - 513/40000, reward_per_episode = 107.5
episode - 514/40000, reward_per_episode = 124.0
episode - 515/40000, reward_per_episode = 107.5
episode - 516/40000, reward_per_episode = 107.5
episode - 517/40000, reward_per_episode = 107.5
episode - 518/40000, reward_per_episode = 52.0
episode - 519/40000, reward_per_episode = 85.0
episode - 520/40000, reward_per_episode = 122.5
episode - 521/40000, reward_per_episode = 107.5
episode - 522/40000, reward_per_episode = 107.5
episode - 523/40000, reward_per_episode = 55.0
episode - 524/40000, reward_per_episode = 114.0
episode - 525/40000, reward_per_episode = 107.5
episode - 526/40000, reward_per_episode = 107.5
episode - 527/40000, reward_per_episode = 87.5
episode - 528/40000, reward_per_episode = 107.5
episode - 529/40000, reward_per_episode = 107.5
episode - 530/40000, reward_per_episode = 107.5
episode - 531/40000, reward_per_episode = 114.0
episode - 532/40000, reward_per_episode = 59.5
episode - 533/40000, reward_per_episode = 107.5
episode - 534/40000, reward_per_episode = 114.0
episode - 535/40000, reward_per_episode = 107.5
episode - 536/40000, reward_per_episode = 107.5
episode - 537/40000, reward_per_episode = 76.0
episode - 538/40000, reward_per_episode = 52.0
episode - 539/40000, reward_per_episode = 120.5
episode - 540/40000, reward_per_episode = 107.5
episode - 541/40000, reward_per_episode = 120.5
episode - 542/40000, reward_per_episode = 97.0
episode - 543/40000, reward_per_episode = 115.0
episode - 544/40000, reward_per_episode = 52.0
episode - 545/40000, reward_per_episode = 122.5
episode - 546/40000, reward_per_episode = 107.5
episode - 547/40000, reward_per_episode = 120.5
episode - 548/40000, reward_per_episode = 107.5
episode - 549/40000, reward_per_episode = 115.0
episode - 550/40000, reward_per_episode = 107.5
episode - 551/40000, reward_per_episode = 107.5
episode - 552/40000, reward_per_episode = 107.5
episode - 553/40000, reward_per_episode = 107.5
episode - 554/40000, reward_per_episode = 107.5
episode - 555/40000, reward_per_episode = 107.5
episode - 556/40000, reward_per_episode = 107.5
episode - 557/40000, reward_per_episode = 112.0
episode - 558/40000, reward_per_episode = 107.5
episode - 559/40000, reward_per_episode = 79.0
episode - 560/40000, reward_per_episode = 107.5
episode - 561/40000, reward_per_episode = 105.0
episode - 562/40000, reward_per_episode = 117.5
episode - 563/40000, reward_per_episode = 127.5
episode - 564/40000, reward_per_episode = 107.5
episode - 565/40000, reward_per_episode = 107.5
episode - 566/40000, reward_per_episode = 107.5
episode - 567/40000, reward_per_episode = 62.5
episode - 568/40000, reward_per_episode = 97.5
episode - 569/40000, reward_per_episode = 107.5
episode - 570/40000, reward_per_episode = 107.5
episode - 571/40000, reward_per_episode = 107.5
episode - 572/40000, reward_per_episode = 115.0
episode - 573/40000, reward_per_episode = 107.5
episode - 574/40000, reward_per_episode = 122.5
episode - 575/40000, reward_per_episode = 114.0
episode - 576/40000, reward_per_episode = 140.0
episode - 577/40000, reward_per_episode = 120.5
episode - 578/40000, reward_per_episode = 133.5
episode - 579/40000, reward_per_episode = 107.5
episode - 580/40000, reward_per_episode = 107.5
episode - 581/40000, reward_per_episode = 67.0
episode - 582/40000, reward_per_episode = 55.0
episode - 583/40000, reward_per_episode = 85.0
episode - 584/40000, reward_per_episode = 107.5
episode - 585/40000, reward_per_episode = 127.5
episode - 586/40000, reward_per_episode = 107.5
episode - 587/40000, reward_per_episode = 120.5
episode - 588/40000, reward_per_episode = 107.5
episode - 589/40000, reward_per_episode = 107.5
episode - 590/40000, reward_per_episode = 85.0
episode - 591/40000, reward_per_episode = 72.0
episode - 592/40000, reward_per_episode = 77.0
episode - 593/40000, reward_per_episode = 107.5
episode - 594/40000, reward_per_episode = 107.5
episode - 595/40000, reward_per_episode = 107.5
episode - 596/40000, reward_per_episode = 107.5
episode - 597/40000, reward_per_episode = 107.5
episode - 598/40000, reward_per_episode = 107.5
episode - 599/40000, reward_per_episode = 107.5
episode - 600/40000, reward_per_episode = 107.5
episode - 601/40000, reward_per_episode = 107.5
episode - 602/40000, reward_per_episode = 107.5
episode - 603/40000, reward_per_episode = 107.5
episode - 604/40000, reward_per_episode = 107.5
episode - 605/40000, reward_per_episode = 107.5
episode - 606/40000, reward_per_episode = 114.0
episode - 607/40000, reward_per_episode = -33.5
episode - 608/40000, reward_per_episode = 97.5
