episode - 0/40000, accumulative_reward = 0
episode - 463/40000, accumulative_reward = 35132.0
episode - 464/40000, accumulative_reward = 35187.0
episode - 465/40000, accumulative_reward = 35294.5
episode - 466/40000, accumulative_reward = 35316.5
episode - 467/40000, accumulative_reward = 35424.0
episode - 468/40000, accumulative_reward = 35542.0
episode - 469/40000, accumulative_reward = 35649.5
episode - 470/40000, accumulative_reward = 35757.0
episode - 471/40000, accumulative_reward = 35864.5
episode - 472/40000, accumulative_reward = 35972.0
episode - 473/40000, accumulative_reward = 36079.5
episode - 474/40000, accumulative_reward = 36142.0
episode - 475/40000, accumulative_reward = 36207.5
episode - 476/40000, accumulative_reward = 36315.0
episode - 477/40000, accumulative_reward = 36422.5
episode - 478/40000, accumulative_reward = 36530.0
episode - 479/40000, accumulative_reward = 36637.5
episode - 480/40000, accumulative_reward = 36745.0
episode - 481/40000, accumulative_reward = 36852.5
episode - 482/40000, accumulative_reward = 36960.0
episode - 483/40000, accumulative_reward = 37067.5
episode - 484/40000, accumulative_reward = 37175.0
episode - 485/40000, accumulative_reward = 37282.5
episode - 486/40000, accumulative_reward = 37400.0
episode - 487/40000, accumulative_reward = 37507.5
episode - 488/40000, accumulative_reward = 37623.0
episode - 489/40000, accumulative_reward = 37730.5
episode - 490/40000, accumulative_reward = 37844.5
episode - 491/40000, accumulative_reward = 37952.0
episode - 492/40000, accumulative_reward = 38059.5
episode - 493/40000, accumulative_reward = 38144.5
episode - 494/40000, accumulative_reward = 38223.5
episode - 495/40000, accumulative_reward = 38313.5
episode - 496/40000, accumulative_reward = 38376.0
episode - 497/40000, accumulative_reward = 38463.5
episode - 498/40000, accumulative_reward = 38571.0
episode - 499/40000, accumulative_reward = 38671.0
episode - 500/40000, accumulative_reward = 38792.0
episode - 501/40000, accumulative_reward = 38923.5
episode - 502/40000, accumulative_reward = 39031.0
episode - 503/40000, accumulative_reward = 39138.5
episode - 504/40000, accumulative_reward = 39255.0
episode - 505/40000, accumulative_reward = 39362.5
episode - 506/40000, accumulative_reward = 39470.0
episode - 507/40000, accumulative_reward = 39577.5
episode - 508/40000, accumulative_reward = 39694.0
episode - 509/40000, accumulative_reward = 39778.0
episode - 510/40000, accumulative_reward = 39885.5
episode - 511/40000, accumulative_reward = 39999.5
episode - 512/40000, accumulative_reward = 40107.0
episode - 513/40000, accumulative_reward = 40214.5
episode - 514/40000, accumulative_reward = 40338.5
episode - 515/40000, accumulative_reward = 40446.0
episode - 516/40000, accumulative_reward = 40553.5
episode - 517/40000, accumulative_reward = 40661.0
episode - 518/40000, accumulative_reward = 40713.0
episode - 519/40000, accumulative_reward = 40798.0
episode - 520/40000, accumulative_reward = 40920.5
episode - 521/40000, accumulative_reward = 41028.0
episode - 522/40000, accumulative_reward = 41135.5
