episode - 474/40000, loss = 36.860260009765625
episode - 475/40000, loss = 30.855802536010742
episode - 476/40000, loss = 26.610641479492188
episode - 477/40000, loss = 11.958503723144531
episode - 478/40000, loss = 0.020831981673836708
episode - 479/40000, loss = 14.546036720275879
episode - 480/40000, loss = 58.021690368652344
episode - 481/40000, loss = 0.15782664716243744
episode - 482/40000, loss = 76.27023315429688
episode - 483/40000, loss = 1.0634765625
episode - 484/40000, loss = 22.025312423706055
episode - 485/40000, loss = 0.3974975645542145
episode - 486/40000, loss = 1.3511145114898682
episode - 487/40000, loss = 54.036441802978516
episode - 488/40000, loss = 49.076171875
episode - 489/40000, loss = 26.988815307617188
episode - 490/40000, loss = 3.8384194374084473
episode - 491/40000, loss = 28.57499122619629
episode - 492/40000, loss = 2.6503164768218994
episode - 493/40000, loss = 28.627239227294922
episode - 494/40000, loss = 31.675783157348633
episode - 495/40000, loss = 4.194563388824463
episode - 496/40000, loss = 19.85133171081543
episode - 497/40000, loss = 204.1943359375
episode - 498/40000, loss = 38.69546127319336
episode - 499/40000, loss = 14.756985664367676
episode - 500/40000, loss = 99.67677307128906
episode - 501/40000, loss = 65.74238586425781
episode - 502/40000, loss = 31.910232543945312
episode - 503/40000, loss = 1740.7052001953125
episode - 504/40000, loss = 22.706836700439453
episode - 505/40000, loss = 0.9098185300827026
episode - 506/40000, loss = 83.16940307617188
episode - 507/40000, loss = 49.718223571777344
episode - 508/40000, loss = 38.22824478149414
episode - 509/40000, loss = 68.01535034179688
episode - 510/40000, loss = 42.66337966918945
episode - 511/40000, loss = 80.62569427490234
episode - 512/40000, loss = 43.97216796875
episode - 513/40000, loss = 373.3387451171875
episode - 514/40000, loss = 0.7023484110832214
episode - 515/40000, loss = 51.947181701660156
episode - 516/40000, loss = 66.21556854248047
episode - 517/40000, loss = 33.55097579956055
episode - 518/40000, loss = 34.02922058105469
episode - 519/40000, loss = 320.2373962402344
episode - 520/40000, loss = 46.7494010925293
episode - 521/40000, loss = 6.27685546875
episode - 522/40000, loss = 0.026168255135416985
episode - 523/40000, loss = 18.64592170715332
episode - 524/40000, loss = 27.49846076965332
episode - 525/40000, loss = 18.664705276489258
episode - 526/40000, loss = 15.210785865783691
episode - 527/40000, loss = 10.808618545532227
episode - 528/40000, loss = 94.98026275634766
episode - 529/40000, loss = 7.804169654846191
episode - 530/40000, loss = 69.6092529296875
episode - 531/40000, loss = 35.72390365600586
episode - 532/40000, loss = 60.87373352050781
episode - 533/40000, loss = 9.821745872497559
episode - 534/40000, loss = 5.4783148765563965
episode - 535/40000, loss = 16.649356842041016
episode - 536/40000, loss = 29.32542610168457
episode - 537/40000, loss = 1.8569239377975464
episode - 538/40000, loss = 22.529388427734375
episode - 539/40000, loss = 2.897153377532959
episode - 540/40000, loss = 32.83905792236328
episode - 541/40000, loss = 17.646928787231445
episode - 542/40000, loss = 31.436052322387695
episode - 543/40000, loss = 2.2700703144073486
episode - 544/40000, loss = 28.31302261352539
episode - 545/40000, loss = 78.76677703857422
episode - 546/40000, loss = 111.08072662353516
episode - 547/40000, loss = 42.00067901611328
episode - 548/40000, loss = 26.991628646850586
episode - 549/40000, loss = 5.672506332397461
episode - 550/40000, loss = 69.40470886230469
episode - 551/40000, loss = 78.19788360595703
episode - 552/40000, loss = 26.148103713989258
episode - 553/40000, loss = 58.257869720458984
episode - 554/40000, loss = 9.606183052062988
episode - 555/40000, loss = 8.507085800170898
episode - 556/40000, loss = 42.84319305419922
episode - 557/40000, loss = 33.349342346191406
episode - 558/40000, loss = 63.16147232055664
episode - 559/40000, loss = 33.13821792602539
episode - 560/40000, loss = 3.784938335418701
episode - 561/40000, loss = 36.0003776550293
episode - 562/40000, loss = 60.11951446533203
episode - 563/40000, loss = 4.367833614349365
episode - 564/40000, loss = 1388.92236328125
episode - 565/40000, loss = 6.823936462402344
episode - 566/40000, loss = 5.400290489196777
episode - 567/40000, loss = 110.64512634277344
episode - 568/40000, loss = 1.2445253133773804
episode - 569/40000, loss = 78.31514739990234
episode - 570/40000, loss = 1.0263168811798096
episode - 571/40000, loss = 53.37983322143555
episode - 572/40000, loss = 28.871841430664062
episode - 573/40000, loss = 11.382181167602539
episode - 574/40000, loss = 0.9886265993118286
episode - 575/40000, loss = 1.129899501800537
episode - 576/40000, loss = 33.54026412963867
episode - 577/40000, loss = 39.4379997253418
episode - 578/40000, loss = 64.28511047363281
episode - 579/40000, loss = 11.433731079101562
episode - 580/40000, loss = 43.665950775146484
episode - 581/40000, loss = 0.06149981543421745
episode - 582/40000, loss = 192.3712158203125
episode - 583/40000, loss = 75.5970687866211
episode - 584/40000, loss = 110.96475982666016
episode - 585/40000, loss = 5.540777683258057
episode - 586/40000, loss = 44.18927001953125
episode - 587/40000, loss = 35.02434158325195
episode - 588/40000, loss = 205.1519317626953
episode - 589/40000, loss = 43.782325744628906
episode - 590/40000, loss = 17.424121856689453
episode - 591/40000, loss = 31.818113327026367
episode - 592/40000, loss = 89.33272552490234
episode - 593/40000, loss = 29.9099178314209
episode - 594/40000, loss = 39.37430191040039
episode - 595/40000, loss = 31.308521270751953
episode - 596/40000, loss = 511.7484130859375
episode - 597/40000, loss = 2.652617931365967
episode - 598/40000, loss = 25.14794158935547
episode - 599/40000, loss = 19.60324478149414
episode - 600/40000, loss = 16.306230545043945
episode - 601/40000, loss = 0.3048914968967438
episode - 602/40000, loss = 3.8064017295837402
episode - 603/40000, loss = 19.398670196533203
episode - 604/40000, loss = 9.909248352050781
episode - 605/40000, loss = 76.2352066040039
episode - 606/40000, loss = 25.150066375732422
episode - 607/40000, loss = 6.7196455001831055
episode - 608/40000, loss = 0.1402018815279007
episode - 609/40000, loss = 55.7193489074707
episode - 610/40000, loss = 127.71214294433594
episode - 611/40000, loss = 1.9591258764266968
episode - 612/40000, loss = 41.88896942138672
episode - 613/40000, loss = 25.911945343017578
episode - 614/40000, loss = 123.6600570678711
episode - 615/40000, loss = 19.35868263244629
episode - 616/40000, loss = 12.668191909790039
episode - 617/40000, loss = 8.367317199707031
episode - 618/40000, loss = 42.68478775024414
episode - 619/40000, loss = 17.837623596191406
episode - 620/40000, loss = 40.54195022583008
episode - 621/40000, loss = 0.13219785690307617
episode - 622/40000, loss = 26.669748306274414
episode - 623/40000, loss = 13.274552345275879
episode - 624/40000, loss = 0.2915577292442322
episode - 625/40000, loss = 27.62040901184082
episode - 626/40000, loss = 0.12362837791442871
episode - 627/40000, loss = 94.58238220214844
episode - 628/40000, loss = 18.268007278442383
episode - 629/40000, loss = 85.81945037841797
episode - 630/40000, loss = 0.5772843956947327
episode - 631/40000, loss = 89.36431121826172
episode - 632/40000, loss = 33.6066780090332
episode - 633/40000, loss = 86.1859359741211
episode - 634/40000, loss = 61.99883270263672
episode - 635/40000, loss = 2.0239503383636475
episode - 636/40000, loss = 0.5406521558761597
episode - 637/40000, loss = 27.640947341918945
episode - 638/40000, loss = 26.42637825012207
episode - 639/40000, loss = 70.6693344116211
episode - 640/40000, loss = 61.43225860595703
episode - 641/40000, loss = 29.694379806518555
episode - 642/40000, loss = 0.0008016080246306956
episode - 643/40000, loss = 0.12310382723808289
episode - 644/40000, loss = 65.29058837890625
episode - 645/40000, loss = 50.44328308105469
episode - 646/40000, loss = 74.99018096923828
episode - 647/40000, loss = 78.17646026611328
episode - 648/40000, loss = 51.64666748046875
episode - 649/40000, loss = 28.538951873779297
episode - 650/40000, loss = 28.54926300048828
episode - 651/40000, loss = 120.95352935791016
episode - 652/40000, loss = 3.0530078411102295
episode - 653/40000, loss = 9.531405448913574
episode - 654/40000, loss = 10.138839721679688
episode - 655/40000, loss = 32.7877311706543
episode - 656/40000, loss = 21.007387161254883
episode - 657/40000, loss = 56.33527755737305
episode - 658/40000, loss = 43.8960075378418
episode - 659/40000, loss = 3.875856399536133
episode - 660/40000, loss = 31.41758155822754
