episode - 0/10000, reward_per_episode = 0
episode - 428/10000, reward_per_episode = 269.72420916624526
episode - 429/10000, reward_per_episode = 704.9110640673518
episode - 430/10000, reward_per_episode = 100.0
episode - 431/10000, reward_per_episode = 100.0
episode - 432/10000, reward_per_episode = 368.82808486441235
episode - 433/10000, reward_per_episode = 100.0
episode - 434/10000, reward_per_episode = 136.40183486080144
episode - 435/10000, reward_per_episode = 405.53579386417397
episode - 436/10000, reward_per_episode = 100.0
episode - 437/10000, reward_per_episode = 76.49841768919242
episode - 438/10000, reward_per_episode = 69.92048051845914
episode - 439/10000, reward_per_episode = 496.22517695728527
episode - 440/10000, reward_per_episode = 100.0
episode - 441/10000, reward_per_episode = 496.22517695728527
episode - 442/10000, reward_per_episode = 496.22517695728527
episode - 443/10000, reward_per_episode = 496.00425463825957
episode - 444/10000, reward_per_episode = 249.80206146063867
episode - 445/10000, reward_per_episode = 654.0328227060546
episode - 446/10000, reward_per_episode = 97.70789415219403
episode - 447/10000, reward_per_episode = -813.4428461286753
episode - 448/10000, reward_per_episode = 459.80390271855697
episode - 449/10000, reward_per_episode = 824.0915029682719
episode - 450/10000, reward_per_episode = 100.0
episode - 451/10000, reward_per_episode = 97.70789415219403
episode - 452/10000, reward_per_episode = -140.8472838387745
episode - 453/10000, reward_per_episode = 1236.4662654072145
episode - 454/10000, reward_per_episode = 13.872842649262566
episode - 455/10000, reward_per_episode = 2358.7129296506805
episode - 456/10000, reward_per_episode = 334.5477885384131
episode - 457/10000, reward_per_episode = 339.899598572699
episode - 458/10000, reward_per_episode = -701.9047401720477
episode - 459/10000, reward_per_episode = 562.7080945402137
episode - 460/10000, reward_per_episode = 100.0
episode - 461/10000, reward_per_episode = 622.2928163484759
episode - 462/10000, reward_per_episode = 301.8585592042996
episode - 463/10000, reward_per_episode = 550.5616841634142
episode - 464/10000, reward_per_episode = 529.0508982606584
episode - 465/10000, reward_per_episode = 100.0
episode - 466/10000, reward_per_episode = 441.67912458058606
episode - 467/10000, reward_per_episode = 1493.1368951803188
episode - 468/10000, reward_per_episode = 100.0
episode - 469/10000, reward_per_episode = 537.7766564952063
episode - 470/10000, reward_per_episode = -318.2644277308683
episode - 471/10000, reward_per_episode = 891.0237631116424
episode - 472/10000, reward_per_episode = 100.0
episode - 473/10000, reward_per_episode = 35.02104927304967
episode - 474/10000, reward_per_episode = -301.01812450163527
episode - 475/10000, reward_per_episode = -1105.4522114615868
episode - 476/10000, reward_per_episode = 254.84840826068506
episode - 477/10000, reward_per_episode = 100.0
episode - 478/10000, reward_per_episode = 334.5477885384131
episode - 479/10000, reward_per_episode = 335.9603074482776
episode - 480/10000, reward_per_episode = 320.18308161613965
episode - 481/10000, reward_per_episode = 440.0
episode - 482/10000, reward_per_episode = 1378.5890789292266
episode - 483/10000, reward_per_episode = -685.5871746967753
episode - 484/10000, reward_per_episode = 35.02104927304967
episode - 485/10000, reward_per_episode = 94.74071504167206
episode - 486/10000, reward_per_episode = 186.277328424279
episode - 487/10000, reward_per_episode = 221.02496759066548
episode - 488/10000, reward_per_episode = 100.0
episode - 489/10000, reward_per_episode = 314.18511131149205
episode - 490/10000, reward_per_episode = 135.76942680153138
episode - 491/10000, reward_per_episode = 632.3778082622835
episode - 492/10000, reward_per_episode = 334.5477885384131
episode - 493/10000, reward_per_episode = 100.0
episode - 494/10000, reward_per_episode = 35.02104927304967
episode - 495/10000, reward_per_episode = 334.5477885384131
episode - 496/10000, reward_per_episode = 374.6551897249466
episode - 497/10000, reward_per_episode = 977.6588780660571
episode - 498/10000, reward_per_episode = 100.0
episode - 499/10000, reward_per_episode = 100.0
episode - 500/10000, reward_per_episode = 334.5477885384131
episode - 501/10000, reward_per_episode = 303.760402718266
episode - 502/10000, reward_per_episode = 484.0306508910551
episode - 503/10000, reward_per_episode = -717.518475638127
episode - 504/10000, reward_per_episode = 1371.072373440552
episode - 505/10000, reward_per_episode = 901.7002850725876
episode - 506/10000, reward_per_episode = -23.638282586284703
episode - 507/10000, reward_per_episode = 35.02104927304967
episode - 508/10000, reward_per_episode = 379.6399802755026
episode - 509/10000, reward_per_episode = 2138.2566187918023
episode - 510/10000, reward_per_episode = -78.7023946545248
episode - 511/10000, reward_per_episode = 471.1517971215292
episode - 512/10000, reward_per_episode = 64.6390066353697
episode - 513/10000, reward_per_episode = 35.02104927304967
episode - 514/10000, reward_per_episode = 314.18511131149205
episode - 515/10000, reward_per_episode = 329.95254689915794
