episode - 0/10000, accumulative_reward = 0
episode - 454/10000, accumulative_reward = 565235.4565932761
episode - 455/10000, accumulative_reward = 566670.6515159054
episode - 456/10000, accumulative_reward = 569228.7404834924
episode - 457/10000, accumulative_reward = 570901.2026037383
episode - 458/10000, accumulative_reward = 571815.5225355002
episode - 459/10000, accumulative_reward = 573487.9846557461
episode - 460/10000, accumulative_reward = 575160.446775992
episode - 461/10000, accumulative_reward = 574536.9145450392
episode - 462/10000, accumulative_reward = 580781.9823389155
episode - 463/10000, accumulative_reward = 580738.2142393898
episode - 464/10000, accumulative_reward = 583014.0717199994
episode - 465/10000, accumulative_reward = 585572.1606875864
episode - 466/10000, accumulative_reward = 585893.1943318247
episode - 467/10000, accumulative_reward = 587763.520355392
episode - 468/10000, accumulative_reward = 589435.9824756379
episode - 469/10000, accumulative_reward = 591108.4445958838
episode - 470/10000, accumulative_reward = 592985.4540400066
episode - 471/10000, accumulative_reward = 594745.5045463454
episode - 472/10000, accumulative_reward = 596417.9666665914
episode - 473/10000, accumulative_reward = 596420.9533373538
episode - 474/10000, accumulative_reward = 599258.2153674383
episode - 475/10000, accumulative_reward = 600930.6774876842
episode - 476/10000, accumulative_reward = 600374.4491916263
episode - 477/10000, accumulative_reward = 602199.5122675574
episode - 478/10000, accumulative_reward = 606796.127264609
episode - 479/10000, accumulative_reward = 608468.5893848549
episode - 480/10000, accumulative_reward = 610141.0515051008
episode - 481/10000, accumulative_reward = 611813.5136253467
episode - 482/10000, accumulative_reward = 613140.7969096636
episode - 483/10000, accumulative_reward = 614923.8376678771
episode - 484/10000, accumulative_reward = 616245.9371437011
episode - 485/10000, accumulative_reward = 617106.0644794562
episode - 486/10000, accumulative_reward = 618778.5265997021
episode - 487/10000, accumulative_reward = 620450.988719948
episode - 488/10000, accumulative_reward = 622123.4508401939
episode - 489/10000, accumulative_reward = 623795.9129604398
episode - 490/10000, accumulative_reward = 625468.3750806857
episode - 491/10000, accumulative_reward = 627140.8372009316
episode - 492/10000, accumulative_reward = 628813.2993211775
episode - 493/10000, accumulative_reward = 630485.7614414234
episode - 494/10000, accumulative_reward = 632158.2235616694
episode - 495/10000, accumulative_reward = 634035.2330057921
episode - 496/10000, accumulative_reward = 636166.7251398934
episode - 497/10000, accumulative_reward = 638298.2172739946
episode - 498/10000, accumulative_reward = 640058.2677803334
episode - 499/10000, accumulative_reward = 641730.7299005793
episode - 500/10000, accumulative_reward = 643403.1920208252
episode - 501/10000, accumulative_reward = 645075.6541410711
episode - 502/10000, accumulative_reward = 646748.116261317
episode - 503/10000, accumulative_reward = 648420.578381563
episode - 504/10000, accumulative_reward = 650093.0405018089
episode - 505/10000, accumulative_reward = 651765.5026220548
episode - 506/10000, accumulative_reward = 653437.9647423007
episode - 507/10000, accumulative_reward = 655110.4268625466
episode - 508/10000, accumulative_reward = 656782.8889827925
episode - 509/10000, accumulative_reward = 658455.3511030384
episode - 510/10000, accumulative_reward = 660127.8132232843
episode - 511/10000, accumulative_reward = 661800.2753435302
episode - 512/10000, accumulative_reward = 663472.7374637761
episode - 513/10000, accumulative_reward = 665145.199584022
episode - 514/10000, accumulative_reward = 666550.0480650056
episode - 515/10000, accumulative_reward = 668420.3740885729
episode - 516/10000, accumulative_reward = 670092.8362088188
episode - 517/10000, accumulative_reward = 671765.2983290647
episode - 518/10000, accumulative_reward = 673437.7604493106
episode - 519/10000, accumulative_reward = 675021.2048257089
episode - 520/10000, accumulative_reward = 676693.6669459548
episode - 521/10000, accumulative_reward = 678366.1290662007
episode - 522/10000, accumulative_reward = 680038.5911864466
