episode - 444/10000, loss = 407.97808837890625
episode - 445/10000, loss = 239.24050903320312
episode - 446/10000, loss = 591.8229370117188
episode - 447/10000, loss = 233.0428009033203
episode - 448/10000, loss = 20.958520889282227
episode - 449/10000, loss = 20.527917861938477
episode - 450/10000, loss = 42.30995178222656
episode - 451/10000, loss = 72.4542465209961
episode - 452/10000, loss = 26.047700881958008
episode - 453/10000, loss = 1079.253173828125
episode - 454/10000, loss = 47.3136100769043
episode - 455/10000, loss = 566.6408081054688
episode - 456/10000, loss = 264.2636413574219
episode - 457/10000, loss = 45.24843978881836
episode - 458/10000, loss = 378.5205383300781
episode - 459/10000, loss = 32.92436981201172
episode - 460/10000, loss = 327.2412109375
episode - 461/10000, loss = 63.592628479003906
episode - 462/10000, loss = 96.2830581665039
episode - 463/10000, loss = 474.7466125488281
episode - 464/10000, loss = 9.197128295898438
episode - 465/10000, loss = 588.9848022460938
episode - 466/10000, loss = 345.81378173828125
episode - 467/10000, loss = 0.03088630922138691
episode - 468/10000, loss = 0.7318267822265625
episode - 469/10000, loss = 0.6241617202758789
episode - 470/10000, loss = 164.64146423339844
episode - 471/10000, loss = 185.79942321777344
episode - 472/10000, loss = 20.21909523010254
episode - 473/10000, loss = 214.61550903320312
episode - 474/10000, loss = 19.56045150756836
episode - 475/10000, loss = 4.46428108215332
episode - 476/10000, loss = 195.04954528808594
episode - 477/10000, loss = 13.798317909240723
episode - 478/10000, loss = 12.743508338928223
episode - 479/10000, loss = 53.62550354003906
episode - 480/10000, loss = 0.890135645866394
episode - 481/10000, loss = 2616.972900390625
episode - 482/10000, loss = 18.030567169189453
episode - 483/10000, loss = 42.357425689697266
episode - 484/10000, loss = 316.58349609375
episode - 485/10000, loss = 31.259004592895508
episode - 486/10000, loss = 59.07780456542969
episode - 487/10000, loss = 34.20387268066406
episode - 488/10000, loss = 141.62030029296875
episode - 489/10000, loss = 3.6106581687927246
episode - 490/10000, loss = 0.35991576313972473
episode - 491/10000, loss = 114.05205535888672
episode - 492/10000, loss = 112.45662689208984
episode - 493/10000, loss = 42.81367111206055
episode - 494/10000, loss = 0.41946008801460266
episode - 495/10000, loss = 29.232694625854492
episode - 496/10000, loss = 873.9991455078125
episode - 497/10000, loss = 159.70956420898438
episode - 498/10000, loss = 0.018686801195144653
episode - 499/10000, loss = 4.36360502243042
episode - 500/10000, loss = 4.21259069442749
episode - 501/10000, loss = 137.77655029296875
episode - 502/10000, loss = 546.8383178710938
episode - 503/10000, loss = 549.4378051757812
episode - 504/10000, loss = 3.371100664138794
episode - 505/10000, loss = 5.9489030838012695
episode - 506/10000, loss = 3624.169677734375
episode - 507/10000, loss = 415.9066467285156
episode - 508/10000, loss = 1569.828369140625
episode - 509/10000, loss = 2.289118528366089
episode - 510/10000, loss = 0.13451167941093445
episode - 511/10000, loss = 606.7245483398438
episode - 512/10000, loss = 160.620849609375
episode - 513/10000, loss = 153.78094482421875
episode - 514/10000, loss = 1115.5030517578125
episode - 515/10000, loss = 1.7218552827835083
episode - 516/10000, loss = 447.69830322265625
episode - 517/10000, loss = 528.3260498046875
episode - 518/10000, loss = 270.99774169921875
episode - 519/10000, loss = 84.35303497314453
episode - 520/10000, loss = 291.1219482421875
episode - 521/10000, loss = 301.395263671875
episode - 522/10000, loss = 19.227439880371094
episode - 523/10000, loss = 345.4223327636719
episode - 524/10000, loss = 150.98590087890625
episode - 525/10000, loss = 3.270707845687866
episode - 526/10000, loss = 28.3359317779541
episode - 527/10000, loss = 535.9769897460938
episode - 528/10000, loss = 8.337897300720215
episode - 529/10000, loss = 3.523327112197876
episode - 530/10000, loss = 0.012363392859697342
episode - 531/10000, loss = 542.38330078125
episode - 532/10000, loss = 17624.30078125
episode - 533/10000, loss = 1113.3040771484375
episode - 534/10000, loss = 203.51866149902344
episode - 535/10000, loss = 341.48345947265625
episode - 536/10000, loss = 102.39839935302734
episode - 537/10000, loss = 143.00637817382812
episode - 538/10000, loss = 13.088447570800781
episode - 539/10000, loss = 250.88795471191406
episode - 540/10000, loss = 121.861572265625
episode - 541/10000, loss = 437.49359130859375
episode - 542/10000, loss = 14.234167098999023
episode - 543/10000, loss = 380.4432678222656
episode - 544/10000, loss = 18.296533584594727
episode - 545/10000, loss = 127.67713928222656
episode - 546/10000, loss = 352.9891662597656
episode - 547/10000, loss = 216.23797607421875
episode - 548/10000, loss = 49.60085678100586
episode - 549/10000, loss = 553.7222290039062
episode - 550/10000, loss = 500.9358215332031
episode - 551/10000, loss = 127.03475189208984
episode - 552/10000, loss = 166.6869659423828
episode - 553/10000, loss = 5.921654224395752
